id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,team,zone
638225,12,Goal,0.9940000152587892,0.49,0.8442546129226685,Riccardo Calafiori,a,8129,FromCorner,2025,Head,28786,Manchester United,Arsenal,0,1,2025-08-17 15:30:00,,None,Arsenal,Edge/Outside
638235,40,MissedShots,0.8719999694824219,0.4209999847412109,0.06685280054807663,Martin Odegaard,a,2517,FromCorner,2025,LeftFoot,28786,Manchester United,Arsenal,0,1,2025-08-17 15:30:00,,None,Arsenal,Edge/Outside
638236,40,MissedShots,0.7469999694824219,0.4579999923706054,0.0184373389929533,Ben White,a,7298,FromCorner,2025,RightFoot,28786,Manchester United,Arsenal,0,1,2025-08-17 15:30:00,,BallTouch,Arsenal,Edge/Outside
638950,33,Goal,0.9540000152587892,0.5020000076293946,0.13262973725795746,Jurriën Timber,h,11707,FromCorner,2025,Head,28793,Arsenal,Leeds,5,0,2025-08-23 16:30:00,Declan Rice,Cross,Arsenal,Edge/Outside
638956,55,MissedShots,0.950999984741211,0.4970000076293945,0.16368675231933594,Jurriën Timber,h,11707,FromCorner,2025,OtherBodyPart,28793,Arsenal,Leeds,5,0,2025-08-23 16:30:00,Declan Rice,Cross,Arsenal,Edge/Outside
638957,55,BlockedShot,0.958000030517578,0.5170000076293946,0.12197952717542648,Riccardo Calafiori,h,8129,FromCorner,2025,RightFoot,28793,Arsenal,Leeds,5,0,2025-08-23 16:30:00,Jurriën Timber,Goal,Arsenal,Edge/Outside
638958,55,Goal,0.9690000152587892,0.5079999923706054,0.16958780586719513,Jurriën Timber,h,11707,FromCorner,2025,RightFoot,28793,Arsenal,Leeds,5,0,2025-08-23 16:30:00,Riccardo Calafiori,Rebound,Arsenal,Edge/Outside
640940,21,SavedShot,0.860999984741211,0.5620000076293945,0.06363651156425476,Noni Madueke,a,11357,FromCorner,2025,LeftFoot,28806,Liverpool,Arsenal,1,0,2025-08-31 15:30:00,,None,Arsenal,Edge/Outside
640946,39,MissedShots,0.91,0.5320000076293945,0.02815292961895466,Riccardo Calafiori,a,8129,FromCorner,2025,Head,28806,Liverpool,Arsenal,1,0,2025-08-31 15:30:00,Declan Rice,Aerial,Arsenal,Edge/Outside
640951,63,MissedShots,0.870999984741211,0.634000015258789,0.02296319603919983,Noni Madueke,a,11357,FromCorner,2025,LeftFoot,28806,Liverpool,Arsenal,1,0,2025-08-31 15:30:00,,Aerial,Arsenal,Edge/Outside
641373,9,MissedShots,0.960999984741211,0.4579999923706054,0.47992590069770813,Gabriel,h,5613,FromCorner,2025,Head,28808,Arsenal,Nottingham Forest,3,0,2025-09-13 11:30:00,Noni Madueke,Cross,Arsenal,Edge/Outside
641376,22,BlockedShot,0.840999984741211,0.4359999847412109,0.0504547581076622,Ethan Nwaneri,h,11132,FromCorner,2025,LeftFoot,28808,Arsenal,Nottingham Forest,3,0,2025-09-13 11:30:00,,None,Arsenal,Edge/Outside
641378,28,SavedShot,0.960999984741211,0.4640000152587891,0.0841638445854187,Jurriën Timber,h,11707,FromCorner,2025,Head,28808,Arsenal,Nottingham Forest,3,0,2025-09-13 11:30:00,Noni Madueke,Aerial,Arsenal,Edge/Outside
641379,31,Goal,0.8019999694824219,0.5,0.031676262617111206,Martín Zubimendi,h,7526,FromCorner,2025,RightFoot,28808,Arsenal,Nottingham Forest,3,0,2025-09-13 11:30:00,,None,Arsenal,Edge/Outside
